"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"5428";"3. RSIHR Known";438;76;362;381;619
"5429";"4. Rosenberger known";526;19;507;132;868
"5430";"5. Optimal adjusted";382;115;267;560;440
"5431";"1. Random";392;106;286;494;506
"5432";"6. Biased  coin";404;106;298;501;500
"5433";"2. Neyman known";406;88;318;434;566
"5434";"3. RSIHR Known";434;82;352;382;618
"5435";"4. Rosenberger known";531;38;493;152;848
"5436";"5. Optimal adjusted";363;100;263;541;459
"5437";"1. Random";388;101;287;501;499
"5438";"6. Biased  coin";409;116;293;500;501
"5439";"2. Neyman known";392;101;291;475;525
"5440";"3. RSIHR Known";425;67;358;369;631
"5441";"4. Rosenberger known";543;26;517;129;871
"5442";"5. Optimal adjusted";383;114;269;535;465
"5443";"1. Random";379;88;291;520;480
"5444";"6. Biased  coin";423;105;318;501;499
"5445";"2. Neyman known";420;91;329;462;538
"5446";"3. RSIHR Known";449;72;377;378;622
"5447";"4. Rosenberger known";567;24;543;130;870
"5448";"5. Optimal adjusted";386;99;287;556;444
"5449";"1. Random";398;101;297;497;503
"5450";"6. Biased  coin";391;99;292;500;500
"5451";"2. Neyman known";434;97;337;456;544
"5452";"3. RSIHR Known";451;67;384;357;643
"5453";"4. Rosenberger known";543;29;514;142;858
"5454";"5. Optimal adjusted";374;113;261;564;436
"5455";"1. Random";375;81;294;489;511
"5456";"6. Biased  coin";380;88;292;501;499
"5457";"2. Neyman known";393;78;315;457;543
"5458";"3. RSIHR Known";446;67;379;346;654
"5459";"4. Rosenberger known";526;33;493;146;854
"5460";"5. Optimal adjusted";386;101;285;521;479
"5461";"1. Random";404;98;306;493;507
"5462";"6. Biased  coin";403;105;298;501;499
"5463";"2. Neyman known";446;105;341;462;538
"5464";"3. RSIHR Known";477;88;389;347;653
"5465";"4. Rosenberger known";548;32;516;142;858
"5466";"5. Optimal adjusted";392;120;272;538;462
"5467";"1. Random";406;98;308;486;514
"5468";"6. Biased  coin";401;106;295;500;500
"5469";"2. Neyman known";431;90;341;448;552
"5470";"3. RSIHR Known";442;71;371;364;636
"5471";"4. Rosenberger known";538;31;507;152;848
"5472";"5. Optimal adjusted";393;115;278;547;453
"5473";"1. Random";387;113;274;506;494
"5474";"6. Biased  coin";372;103;269;500;500
"5475";"2. Neyman known";408;97;311;450;550
"5476";"3. RSIHR Known";433;65;368;360;640
"5477";"4. Rosenberger known";521;32;489;140;860
"5478";"5. Optimal adjusted";359;104;255;532;468
"5479";"1. Random";382;105;277;508;492
"5480";"6. Biased  coin";414;118;296;499;501
"5481";"2. Neyman known";405;92;313;453;547
"5482";"3. RSIHR Known";461;75;386;337;663
"5483";"4. Rosenberger known";534;29;505;132;868
"5484";"5. Optimal adjusted";392;108;284;518;482
"5485";"1. Random";385;100;285;515;485
"5486";"6. Biased  coin";370;88;282;502;499
"5487";"2. Neyman known";400;87;313;443;557
"5488";"3. RSIHR Known";422;67;355;366;634
"5489";"4. Rosenberger known";534;27;507;134;866
"5490";"5. Optimal adjusted";370;93;277;527;473
"5491";"1. Random";414;113;301;511;489
"5492";"6. Biased  coin";397;106;291;504;500
"5493";"2. Neyman known";429;97;332;442;558
"5494";"3. RSIHR Known";452;82;370;389;611
"5495";"4. Rosenberger known";539;30;509;136;864
"5496";"5. Optimal adjusted";379;112;267;551;449
"5497";"1. Random";390;87;303;493;507
"5498";"6. Biased  coin";398;109;289;501;500
"5499";"2. Neyman known";423;101;322;443;557
"5500";"3. RSIHR Known";435;62;373;369;631
"5501";"4. Rosenberger known";519;22;497;145;855
"5502";"5. Optimal adjusted";386;105;281;548;452
"5503";"1. Random";404;116;288;516;484
"5504";"6. Biased  coin";403;102;301;501;499
"5505";"2. Neyman known";423;98;325;443;557
"5506";"3. RSIHR Known";459;77;382;362;638
"5507";"4. Rosenberger known";551;29;522;111;889
"5508";"5. Optimal adjusted";382;108;274;546;454
"5509";"1. Random";405;90;315;511;489
"5510";"6. Biased  coin";412;102;310;500;500
"5511";"2. Neyman known";408;89;319;458;542
"5512";"3. RSIHR Known";474;74;400;356;644
"5513";"4. Rosenberger known";566;33;533;133;867
"5514";"5. Optimal adjusted";376;118;258;564;436
"5515";"1. Random";383;106;277;517;483
"5516";"6. Biased  coin";401;106;295;501;500
"5517";"2. Neyman known";385;91;294;471;529
"5518";"3. RSIHR Known";438;65;373;365;635
"5519";"4. Rosenberger known";526;24;502;135;865
"5520";"5. Optimal adjusted";369;113;256;552;448
"5521";"1. Random";423;89;334;476;524
"5522";"6. Biased  coin";424;115;309;500;501
"5523";"2. Neyman known";412;89;323;445;555
"5524";"3. RSIHR Known";466;69;397;367;633
"5525";"4. Rosenberger known";569;33;536;130;870
"5526";"5. Optimal adjusted";393;111;282;527;473
"5527";"1. Random";384;101;283;496;504
"5528";"6. Biased  coin";405;106;299;502;500
"5529";"2. Neyman known";385;95;290;478;522
"5530";"3. RSIHR Known";440;85;355;383;617
"5531";"4. Rosenberger known";537;33;504;130;870
"5532";"5. Optimal adjusted";384;106;278;543;457
"5533";"1. Random";396;107;289;496;504
"5534";"6. Biased  coin";384;105;279;502;499
"5535";"2. Neyman known";416;100;316;452;548
"5536";"3. RSIHR Known";457;79;378;358;642
"5537";"4. Rosenberger known";524;26;498;151;849
"5538";"5. Optimal adjusted";383;124;259;551;449
"5539";"1. Random";421;105;316;473;527
"5540";"6. Biased  coin";400;97;303;502;499
"5541";"2. Neyman known";412;85;327;440;560
"5542";"3. RSIHR Known";440;68;372;371;629
"5543";"4. Rosenberger known";542;34;508;137;863
"5544";"5. Optimal adjusted";378;94;284;519;481
"5545";"1. Random";432;108;324;473;527
"5546";"6. Biased  coin";403;104;299;500;500
"5547";"2. Neyman known";443;107;336;443;557
"5548";"3. RSIHR Known";467;83;384;369;631
"5549";"4. Rosenberger known";550;30;520;139;861
"5550";"5. Optimal adjusted";396;126;270;572;428
"5551";"1. Random";418;118;300;501;499
"5552";"6. Biased  coin";412;114;298;500;500
"5553";"2. Neyman known";442;106;336;446;554
"5554";"3. RSIHR Known";479;72;407;331;669
"5555";"4. Rosenberger known";561;37;524;130;870
"5556";"5. Optimal adjusted";398;122;276;513;487
"5557";"1. Random";384;101;283;484;516
"5558";"6. Biased  coin";400;120;280;500;500
"5559";"2. Neyman known";418;103;315;453;547
"5560";"3. RSIHR Known";439;75;364;356;644
"5561";"4. Rosenberger known";516;37;479;145;855
"5562";"5. Optimal adjusted";365;124;241;540;460
"5563";"1. Random";391;107;284;502;498
"5564";"6. Biased  coin";408;115;293;499;501
"5565";"2. Neyman known";405;97;308;461;539
"5566";"3. RSIHR Known";439;83;356;366;634
"5567";"4. Rosenberger known";514;31;483;163;837
"5568";"5. Optimal adjusted";371;100;271;519;481
"5569";"1. Random";401;108;293;511;489
"5570";"6. Biased  coin";392;109;283;501;500
"5571";"2. Neyman known";439;107;332;454;546
"5572";"3. RSIHR Known";435;74;361;369;631
"5573";"4. Rosenberger known";530;27;503;139;861
"5574";"5. Optimal adjusted";391;129;262;546;454
"5575";"1. Random";396;104;292;507;493
"5576";"6. Biased  coin";399;103;296;500;500
"5577";"2. Neyman known";423;98;325;470;530
"5578";"3. RSIHR Known";467;79;388;365;635
"5579";"4. Rosenberger known";565;24;541;134;866
"5580";"5. Optimal adjusted";386;106;280;535;465
"5581";"1. Random";402;106;296;506;494
"5582";"6. Biased  coin";414;109;305;501;500
"5583";"2. Neyman known";415;99;316;455;545
"5584";"3. RSIHR Known";459;71;388;351;649
"5585";"4. Rosenberger known";527;38;489;158;842
"5586";"5. Optimal adjusted";393;111;282;543;457
"5587";"1. Random";388;99;289;514;486
"5588";"6. Biased  coin";378;91;287;500;500
"5589";"2. Neyman known";403;78;325;427;573
"5590";"3. RSIHR Known";438;73;365;361;639
"5591";"4. Rosenberger known";532;28;504;136;864
"5592";"5. Optimal adjusted";373;102;271;538;462
"5593";"1. Random";394;105;289;510;490
"5594";"6. Biased  coin";397;95;302;502;499
"5595";"2. Neyman known";439;109;330;458;542
"5596";"3. RSIHR Known";436;76;360;385;615
"5597";"4. Rosenberger known";539;37;502;161;839
"5598";"5. Optimal adjusted";399;117;282;544;456
"5599";"1. Random";383;113;270;508;492
"5600";"6. Biased  coin";407;114;293;501;499
"5601";"2. Neyman known";421;113;308;464;536
"5602";"3. RSIHR Known";438;76;362;368;632
"5603";"4. Rosenberger known";524;25;499;128;872
"5604";"5. Optimal adjusted";366;127;239;569;431
"5605";"1. Random";391;106;285;511;489
"5606";"6. Biased  coin";386;101;285;502;499
"5607";"2. Neyman known";421;89;332;449;551
"5608";"3. RSIHR Known";413;71;342;385;615
"5609";"4. Rosenberger known";541;23;518;125;875
"5610";"5. Optimal adjusted";366;99;267;531;469
"5611";"1. Random";405;115;290;500;500
"5612";"6. Biased  coin";422;112;310;498;502
"5613";"2. Neyman known";430;98;332;450;550
"5614";"3. RSIHR Known";464;78;386;354;646
"5615";"4. Rosenberger known";562;31;531;138;862
"5616";"5. Optimal adjusted";413;114;299;520;480
"5617";"1. Random";376;106;270;519;481
"5618";"6. Biased  coin";394;112;282;504;501
"5619";"2. Neyman known";424;107;317;434;566
"5620";"3. RSIHR Known";477;87;390;338;662
"5621";"4. Rosenberger known";542;34;508;138;862
"5622";"5. Optimal adjusted";398;113;285;522;478
"5623";"1. Random";396;101;295;523;477
"5624";"6. Biased  coin";423;116;307;501;499
"5625";"2. Neyman known";419;82;337;444;556
"5626";"3. RSIHR Known";481;70;411;339;661
"5627";"4. Rosenberger known";542;22;520;131;869
"5628";"5. Optimal adjusted";374;113;261;559;441
"5629";"1. Random";426;93;333;483;517
"5630";"6. Biased  coin";429;99;330;499;501
"5631";"2. Neyman known";425;87;338;464;536
"5632";"3. RSIHR Known";457;77;380;396;604
"5633";"4. Rosenberger known";557;21;536;145;855
"5634";"5. Optimal adjusted";401;108;293;547;453
"5635";"1. Random";378;100;278;534;466
"5636";"6. Biased  coin";415;97;318;503;498
"5637";"2. Neyman known";414;89;325;477;523
"5638";"3. RSIHR Known";476;78;398;352;648
"5639";"4. Rosenberger known";558;24;534;133;867
"5640";"5. Optimal adjusted";382;105;277;540;460
"5641";"1. Random";404;117;287;510;490
"5642";"6. Biased  coin";428;118;310;501;499
"5643";"2. Neyman known";445;93;352;427;573
"5644";"3. RSIHR Known";470;81;389;368;632
"5645";"4. Rosenberger known";554;25;529;143;857
"5646";"5. Optimal adjusted";406;112;294;540;460
"5647";"1. Random";428;125;303;499;501
"5648";"6. Biased  coin";400;110;290;502;501
"5649";"2. Neyman known";435;99;336;417;583
"5650";"3. RSIHR Known";433;68;365;353;647
"5651";"4. Rosenberger known";532;24;508;124;876
"5652";"5. Optimal adjusted";389;128;261;548;452
"5653";"1. Random";392;100;292;501;499
"5654";"6. Biased  coin";391;101;290;500;500
"5655";"2. Neyman known";426;98;328;446;554
"5656";"3. RSIHR Known";440;79;361;389;611
"5657";"4. Rosenberger known";528;35;493;150;850
"5658";"5. Optimal adjusted";394;124;270;538;462
"5659";"1. Random";393;84;309;484;516
"5660";"6. Biased  coin";378;91;287;505;500
"5661";"2. Neyman known";408;77;331;436;564
"5662";"3. RSIHR Known";453;80;373;377;623
"5663";"4. Rosenberger known";546;26;520;138;862
"5664";"5. Optimal adjusted";391;107;284;530;470
"5665";"1. Random";391;112;279;526;474
"5666";"6. Biased  coin";406;113;293;500;501
"5667";"2. Neyman known";383;88;295;478;522
"5668";"3. RSIHR Known";466;86;380;365;635
"5669";"4. Rosenberger known";535;25;510;130;870
"5670";"5. Optimal adjusted";405;106;299;513;487
"5671";"1. Random";390;96;294;491;509
"5672";"6. Biased  coin";394;106;288;500;501
"5673";"2. Neyman known";407;88;319;460;540
"5674";"3. RSIHR Known";443;75;368;387;613
"5675";"4. Rosenberger known";532;28;504;145;855
"5676";"5. Optimal adjusted";382;98;284;514;486
"5677";"1. Random";430;103;327;494;506
"5678";"6. Biased  coin";420;107;313;500;500
"5679";"2. Neyman known";442;102;340;456;544
"5680";"3. RSIHR Known";459;64;395;364;636
"5681";"4. Rosenberger known";581;31;550;131;869
"5682";"5. Optimal adjusted";409;124;285;547;453
"5683";"1. Random";368;102;266;508;492
"5684";"6. Biased  coin";373;95;278;501;501
"5685";"2. Neyman known";422;98;324;458;542
"5686";"3. RSIHR Known";445;63;382;347;653
"5687";"4. Rosenberger known";536;23;513;133;867
"5688";"5. Optimal adjusted";381;109;272;542;458
"5689";"1. Random";421;100;321;483;517
"5690";"6. Biased  coin";404;95;309;503;500
"5691";"2. Neyman known";435;88;347;435;565
"5692";"3. RSIHR Known";429;63;366;381;619
"5693";"4. Rosenberger known";550;33;517;148;852
"5694";"5. Optimal adjusted";386;114;272;546;454
"5695";"1. Random";377;93;284;530;470
"5696";"6. Biased  coin";384;105;279;502;498
"5697";"2. Neyman known";418;97;321;454;546
"5698";"3. RSIHR Known";447;67;380;343;657
"5699";"4. Rosenberger known";524;33;491;150;850
"5700";"5. Optimal adjusted";393;110;283;501;499
"5701";"1. Random";414;107;307;482;518
"5702";"6. Biased  coin";401;112;289;499;501
"5703";"2. Neyman known";431;102;329;442;558
"5704";"3. RSIHR Known";459;86;373;368;632
"5705";"4. Rosenberger known";531;46;485;154;846
"5706";"5. Optimal adjusted";395;129;266;542;458
"5707";"1. Random";417;101;316;486;514
"5708";"6. Biased  coin";404;102;302;501;499
"5709";"2. Neyman known";417;95;322;447;553
"5710";"3. RSIHR Known";463;84;379;361;639
"5711";"4. Rosenberger known";559;29;530;126;874
"5712";"5. Optimal adjusted";380;112;268;553;447
"5713";"1. Random";362;90;272;521;479
"5714";"6. Biased  coin";371;98;273;500;500
"5715";"2. Neyman known";410;91;319;448;552
"5716";"3. RSIHR Known";442;67;375;366;634
"5717";"4. Rosenberger known";531;28;503;145;855
"5718";"5. Optimal adjusted";384;100;284;538;462
"5719";"1. Random";391;94;297;499;501
"5720";"6. Biased  coin";377;84;293;499;501
"5721";"2. Neyman known";412;86;326;460;540
"5722";"3. RSIHR Known";419;69;350;406;594
"5723";"4. Rosenberger known";543;24;519;125;875
"5724";"5. Optimal adjusted";389;98;291;509;491
"5725";"1. Random";416;103;313;481;519
"5726";"6. Biased  coin";379;100;279;499;501
"5727";"2. Neyman known";419;81;338;438;562
"5728";"3. RSIHR Known";454;74;380;352;648
"5729";"4. Rosenberger known";526;34;492;136;864
"5730";"5. Optimal adjusted";363;97;266;544;456
"5731";"1. Random";369;95;274;522;478
"5732";"6. Biased  coin";397;93;304;503;500
"5733";"2. Neyman known";423;95;328;469;531
"5734";"3. RSIHR Known";470;73;397;339;661
"5735";"4. Rosenberger known";560;32;528;130;870
"5736";"5. Optimal adjusted";381;106;275;538;462
"5737";"1. Random";401;112;289;513;487
"5738";"6. Biased  coin";410;122;288;500;500
"5739";"2. Neyman known";406;91;315;449;551
"5740";"3. RSIHR Known";450;80;370;366;634
"5741";"4. Rosenberger known";532;28;504;152;848
"5742";"5. Optimal adjusted";401;121;280;531;469
"5743";"1. Random";410;112;298;489;511
"5744";"6. Biased  coin";382;92;290;502;500
"5745";"2. Neyman known";436;106;330;458;542
"5746";"3. RSIHR Known";453;84;369;383;617
"5747";"4. Rosenberger known";536;36;500;148;852
"5748";"5. Optimal adjusted";409;123;286;531;469
"5749";"1. Random";392;104;288;515;485
"5750";"6. Biased  coin";385;97;288;500;501
"5751";"2. Neyman known";435;90;345;442;558
"5752";"3. RSIHR Known";429;64;365;379;621
"5753";"4. Rosenberger known";528;34;494;145;855
"5754";"5. Optimal adjusted";386;102;284;531;469
"5755";"1. Random";388;94;294;501;499
"5756";"6. Biased  coin";399;101;298;501;500
"5757";"2. Neyman known";406;80;326;435;565
"5758";"3. RSIHR Known";460;72;388;358;642
"5759";"4. Rosenberger known";538;25;513;138;862
"5760";"5. Optimal adjusted";365;104;261;550;450
"5761";"1. Random";390;103;287;504;496
"5762";"6. Biased  coin";404;101;303;502;500
"5763";"2. Neyman known";432;103;329;432;568
"5764";"3. RSIHR Known";439;76;363;361;639
"5765";"4. Rosenberger known";521;19;502;125;875
"5766";"5. Optimal adjusted";396;118;278;519;481
"5767";"1. Random";411;111;300;503;497
"5768";"6. Biased  coin";402;98;304;500;500
"5769";"2. Neyman known";425;99;326;461;539
"5770";"3. RSIHR Known";475;81;394;357;643
"5771";"4. Rosenberger known";570;31;539;136;864
"5772";"5. Optimal adjusted";380;110;270;544;456
"5773";"1. Random";401;120;281;517;483
"5774";"6. Biased  coin";391;107;284;501;500
"5775";"2. Neyman known";419;94;325;429;571
"5776";"3. RSIHR Known";448;90;358;363;637
"5777";"4. Rosenberger known";527;32;495;146;854
"5778";"5. Optimal adjusted";388;125;263;528;472
"5779";"1. Random";419;99;320;481;519
"5780";"6. Biased  coin";393;91;302;504;498
"5781";"2. Neyman known";424;94;330;452;548
"5782";"3. RSIHR Known";475;84;391;363;637
"5783";"4. Rosenberger known";545;26;519;154;846
"5784";"5. Optimal adjusted";384;96;288;519;481
"5785";"1. Random";378;101;277;492;508
"5786";"6. Biased  coin";373;92;281;500;500
"5787";"2. Neyman known";402;86;316;436;564
"5788";"3. RSIHR Known";420;70;350;377;623
"5789";"4. Rosenberger known";492;18;474;141;859
"5790";"5. Optimal adjusted";373;118;255;555;445
"5791";"1. Random";400;118;282;516;484
"5792";"6. Biased  coin";399;105;294;506;497
"5793";"2. Neyman known";426;99;327;456;544
"5794";"3. RSIHR Known";442;65;377;354;646
"5795";"4. Rosenberger known";527;26;501;135;865
"5796";"5. Optimal adjusted";379;116;263;535;465
"5797";"1. Random";407;95;312;484;516
"5798";"6. Biased  coin";374;94;280;504;498
"5799";"2. Neyman known";432;96;336;446;554
"5800";"3. RSIHR Known";438;82;356;391;609
"5801";"4. Rosenberger known";547;24;523;135;865
"5802";"5. Optimal adjusted";398;109;289;523;477
"5803";"1. Random";387;102;285;505;495
"5804";"6. Biased  coin";404;92;312;500;501
"5805";"2. Neyman known";412;98;314;470;530
"5806";"3. RSIHR Known";447;68;379;380;620
"5807";"4. Rosenberger known";526;26;500;160;840
"5808";"5. Optimal adjusted";372;109;263;563;437
"5809";"1. Random";411;92;319;477;523
"5810";"6. Biased  coin";388;98;290;500;500
"5811";"2. Neyman known";406;82;324;432;568
"5812";"3. RSIHR Known";455;91;364;375;625
"5813";"4. Rosenberger known";543;34;509;144;856
"5814";"5. Optimal adjusted";390;109;281;536;464
"5815";"1. Random";384;85;299;492;508
"5816";"6. Biased  coin";377;93;284;500;501
"5817";"2. Neyman known";429;69;360;416;584
"5818";"3. RSIHR Known";452;75;377;381;619
"5819";"4. Rosenberger known";543;24;519;135;865
"5820";"5. Optimal adjusted";387;113;274;539;461
"5821";"1. Random";395;107;288;495;505
"5822";"6. Biased  coin";388;103;285;500;501
"5823";"2. Neyman known";406;85;321;434;566
"5824";"3. RSIHR Known";454;89;365;382;618
"5825";"4. Rosenberger known";531;32;499;135;865
"5826";"5. Optimal adjusted";392;113;279;517;483
"5827";"1. Random";429;113;316;482;518
"5828";"6. Biased  coin";421;106;315;501;500
"5829";"2. Neyman known";422;94;328;451;549
"5830";"3. RSIHR Known";452;77;375;374;626
"5831";"4. Rosenberger known";563;32;531;144;856
"5832";"5. Optimal adjusted";390;124;266;552;448
"5833";"1. Random";386;102;284;512;488
"5834";"6. Biased  coin";441;113;328;502;500
"5835";"2. Neyman known";435;92;343;447;553
"5836";"3. RSIHR Known";483;80;403;353;647
"5837";"4. Rosenberger known";567;43;524;165;835
"5838";"5. Optimal adjusted";390;102;288;539;461
"5839";"1. Random";401;104;297;496;504
"5840";"6. Biased  coin";399;104;295;501;500
"5841";"2. Neyman known";414;96;318;472;528
"5842";"3. RSIHR Known";463;67;396;361;639
"5843";"4. Rosenberger known";532;22;510;146;854
"5844";"5. Optimal adjusted";384;103;281;538;462
"5845";"1. Random";388;104;284;489;511
"5846";"6. Biased  coin";385;110;275;501;500
"5847";"2. Neyman known";409;98;311;454;546
"5848";"3. RSIHR Known";432;85;347;394;606
"5849";"4. Rosenberger known";517;32;485;145;855
